ulasan,kategori,clean
"3thn pake limit payleyer gk naik2,, padhal gk pernah telat bayar,, pengajuan pinjama juga d tolak terus,, transaksi saya disini hampir 8jtaan/bulan,, masa ia limit payleter cuma 300k",Negatif,thn pake limit payleyer gk naik padhal gk pernah telat bayar aju pinjama d tolak terus transaksi sini hampir jtaanbulan masa limit payleter cuma k
menyenangkan .tp terkadang onkirnya mahal dgn produk yg di beli ..,Positif,senang tp terkadang onkirnya mahal dgn produk yg beli
belanja yg memuaskan,Positif,belanja yg muas
kurir antar barang tepat waktu & sopan,Positif,kurir antar barang tepat waktu sopan
males komentar dah ..habis nya sering banget ketipu sama promo promo ..harga asli mahal dan ada diskon jadi murah tapi barang nya benar2 murahan ...kenapa w jadi kena sialnya ya ...w jadi males mau blanja2 lagi ...takut ketipu aja ..,Negatif,males komentar dah habis nya sering banget tipu sama promo promo harga asli mahal diskon jadi murah barang nya benar murah w jadi kena sial w jadi males mau blanja takut tipu aja
Terbaik..👌👍,Positif,baik
Susah cara masuk yah,Positif,susah cara masuk yah
barang bagus,Positif,barang bagus
mantap,Positif,mantap
belanja lebih mudah,Positif,belanja lebih mudah
Bagus amana dan terpercaya,Positif,bagus amana percaya
buruk semua buruk,Negatif,buruk semua buruk
kebangetan kalo kalian gatau,Positif,banget kalo kalian gatau
bagus lumayan dengan harga segitu,Positif,bagus lumayan harga segitu
Kali ini saya maafkan perlakuan sebelumnya.karna sudah mendapatkan salah satu barang yg sesuai dan pengiriman melebihi ekspektasi saya👍🏻,Positif,kali maaf laku sebelumnyakarna dapat salah satu barang yg sesuai kirim lebih ekspektasi
sangat baik,Positif,sangat baik
good,Positif,good
"belanja sangat mudah + slalu dapat gratis ongkir cuma biaya penanganan harus lbih murah, hehhe",Positif,belanja sangat mudah slalu gratis ongkir cuma biaya tangan lbih murah hehhe
mantap,Positif,mantap
pokok e suka shope mudah belanja nya selalu gratis ongkir,Positif,pokok e suka shope mudah belanja nya selalu gratis ongkir
Tempat belanja paling murah,Positif,tempat belanja paling murah
cukup puas,Positif,cukup puas
"semoga aplnya lancar dan mudah dikendalikan,",Positif,moga aplnya lancar mudah kendali
sangat bagus,Positif,sangat bagus
"saya suka sih sama shopee banyak voucher,sering ada diskon,tp sejak tidak pakai j&t pengiriman semakin lama,dulu ketika pakai j&t 2-3 hari sudah nyampai sekarang harus nunggu berhari-hari,dan kurir nya tidak chat dulu ketika paket mau datang #tolongdiperbaiki😊",Negatif,suka sih sama shopee banyak vouchersering diskontp sejak pakai jt kirim makin lamadulu pakai jt hari nyampai sekarang nunggu berhariharidan kurir nya chat dulu paket mau datang tolongdiperbaiki
bermanfaat untuk memesan barang di online shop 👍👍👍,Positif,manfaat mes barang online shop
pesanan sudah 3x di batalkan oleh shopee,Negatif,pesan x batal shopee
"aplikasi nya beraaat, kenapa sih mesti open vidio dulu kalo buka aplikasi. ga semua orang pake hp bagus, kalo gini cara nya banyak pindah ke aplikasi Ojo yg nota bene lebih ringan di pakai nya",Negatif,aplikasi nya beraaat sih mesti open vidio dulu kalo buka aplikasi ga semua orang pake hp bagus kalo gin cara nya banyak pindah aplikasi ojo yg nota bene lebih ringan pakai nya
ok,Positif,
"shope mantap,sangat membantu",Positif,shope mantapsangat bantu
kurir nya di edukasi lagi masa mau ngirim jam 12:00 siang. saya respon di jam 12:30 siang tiba tiba paket saya di tunda di kirim esok hari. mikir laah emang nya saya ga ada kegiatan. jam 12:00 jam juhur kita sholat. bodoh bgt,Negatif,kurir nya edukasi masa mau ngirim jam siang respon jam siang tiba tiba paket tunda kirim esok hari mikir laah emang nya ga giat jam jam juhur sholat bodoh bgt
shopee 👍,Positif,shopee
Tolong Update shopee bisa menggunakan tema mode gelap kayak tokoh yang lain. sudah dari tahun ketahun. masa shopee ga bisaaaaa.,Negatif,update shopee guna tema mode gelap kayak tokoh tahun tahun masa shopee ga bisaaaaa
mantap,Positif,mantap
"kok agak lemot ya akhir"" ini aplikasinya",Negatif,kok lot akhir aplikasi
mantap,Positif,mantap
"ntah udh komplen berapa kali di berbagai social media shopee, jawabannya pasti maaf, akan kami kirim secepatnya, usahakan no pelanggan aktif, bla bla bla. SAYA gk butuh perminta maafan, saya cmn mau barang saya sampai itu aj, dri map kurir sudah dekat dengan rumah saya tapi ditunggu tunggu kok gk dateng dateng juga??? ini antara kurir nya gk bisa baca map, ad kendala atau apa?? kalau pun ad kendala ini udah 2 minggu loh?? padahal ini bner bener butuh bngett😒.",Negatif,ntah udh komplen berapa kali bagai social media shopee jawab maaf kirim cepat usaha no langgan aktif bla bla bla gk butuh minta maaf cmn mau barang aj dri map kurir dekat rumah tunggu tunggu kok gk dateng dateng kurir nya gk baca map ad kendala apa kalau ad kendala udah minggu loh padahal bner bener butuh bngett
harganya murah dan banyak sekali diskonnya,Positif,harga murah banyak sekali diskon
iklan nya ada dimana mana anj,Negatif,iklan nya mana anj
keren,Positif,keren
sangat terpercaya,Positif,sangat percaya
ok,Positif,
Ini bneran transaksinya gampang. Bnyak vocher dan diskon nya costumer service shoppe pun bisa menyelesaikan masalah kita dengan seler,Positif,bneran transaksi gampang bnyak vocher diskon nya costumer service shoppe selesai masalah seler
luar biasa saya sangat menyukai aplikasi ini👍🏻,Positif,luar biasa sangat suka aplikasi
Mantap,Positif,mantap
matap,Positif,matap
top,Positif,top
mntap,Positif,mntap
Shopee adalah tempat berbelanja yang sangat bagus.. dan harga sangat murah dan ongkir juga murah.. saya sangat senang mengunakan aplikasi shopee.. tp saya Mohon pihak shopee di cek ulang aplikasinya.. semakin di update semakin lelet dan berat.. sulit untuk membuka aplikasinya.. kami pemakai shopee terasa tidak nyaman dan sulit untuk bertraksaksi.. mohon di cek kembali.. agar para memakai aplikasi shopee lebih nyaman.. terima kasih,Positif,shopee tempat belanja sangat bagus harga sangat murah ongkir murah sangat senang mengunakan aplikasi shopee tp mohon pihak shopee cek ulang aplikasi makin update makin lelet berat sulit buka aplikasi pakai shopee asa nyaman sulit bertraksaksi mohon cek pakai aplikasi shopee lebih nyaman terima kasih
sangat memudahkan dan memuaskan,Positif,sangat mudah muas
"Anteraja tidak mengambil paket saya dan akhirnya paketnya di cancel oleh shopee!! Paket yg lain nyasar dan akhirnya customer minta cancel. Shopee mengakhiri kerjasama dengan jnt tapi tidak bertanggung jawab! Harusnya kalau sudah tidak mau bekerjasama dengan JNT, pastikan ekspedisi lain yang kamu pilih itu juga sebaik JNT kinerjanya!!! Udah gak menggunakan jnt, ekspedisi yang dipilih hari libur tutup,pengiriman lemot,sering nyasar. Haloooo!!Dipikirkan baik baik dong!",Negatif,anteraja ambil paket akhir paket cancel shopee paket yg nyasar akhir customer minta cancel shopee akhir kerjasama jnt tanggung jawab harus kalau mau bekerjasama jnt pasti ekspedisi kamu pilih baik jnt kerja udah gak guna jnt ekspedisi pilih hari libur tutuppengiriman lemotsering nyasar haloooodipikirkan baik baik dong
cukup baik,Positif,cukup baik
good,Positif,good
thx Shopee,Positif,thx shopee
bahagia bersma shoope terima kasih shoppe,Positif,bahagia bersma shoope terima kasih shoppe
membuat semua menjadi mudah,Positif,buat semua jadi mudah
ok mantap lah,Positif,mantap lah
bagus dan lengkap,Positif,bagus lengkap
iklan kau dikitin ya tek,Negatif,iklan kau kitin tek
bagus dan membantu,Positif,bagus bantu
sering muncul iklan di aplikasi lain☹️sangat sangat mengganggu🤦,Negatif,sering muncul iklan aplikasi lainsangat sangat ganggu
The best banget deh pokoknya nya😘,Positif,the best banget deh pokok nya
praktis,Positif,praktis
"Semua fiturnya udah bagus dan makin mudah, dan di bagian si pinjam pun udah bagus untuk jatuh tempo pembayarannya udah menyesuaikan dengan tanggal pinjam. Ini cuma sekedar saran sih, kayaknya naikin limitnya lagi dong buat nasabah yg udah lama dan pembayarannya pun lancar.😁🙏",Positif,semua fiturnya udah bagus makin mudah bagi si pinjam udah bagus jatuh tempo bayar udah sesuai tanggal pinjam cuma dar saran sih kayak naikin limit dong buat nasabah yg udah lama bayar lancar
lancar tanpa kendala,Positif,lancar kendala
alhamdulillah toko² yang kerja bareng sama shoppe selama saya belanja ..alhamdulillah amanah barang2 yang saya pesen selama ini persis sama gambar ...mdh²n toko²nya amanah,Positif,alhamdulillah toko kerja bareng sama shoppe lama belanja alhamdulillah amanah barang sen lama persis sama gambar mdhn toko amanah
oyiiii,Positif,oyiiii
bgus,Positif,bgus
ok sangat berguna,Positif,sangat guna
"Selama ini Memuaskan, Akan tetapi Pusat bantuan melalui Telpon dipermudah biar cepat selesai klo ada masah yg rumit 🙏",Positif,lama muas pusat bantu lalu telpon mudah biar cepat selesai klo masah yg rumit
Belanja online ya di shopee aja 👍,Positif,belanja online shopee aja
minta tolong kepada pihak SHOPEE buat ongkir ke Sumatra mohon di murah kan kali,Positif,minta pihak shopee buat ongkir sumatra mohon murah kan kali
best,Positif,best
Oke,Positif,oke
"sekarang jadi malas belanja di shopee, pengiriman lambat, lelet, kadang ada tambahan biaya kurir. gak tau lah yang pokoknya kurir spx minta biaya ongkir tambahan, udah lambat minta tambahan lagi,huuuu jadi males pake apk shopee 👎🏻👎🏻👎🏻",Negatif,sekarang jadi malas belanja shopee kirim lambat lelet kadang tambah biaya kurir gak tau lah pokok kurir spx minta biaya ongkir tambah udah lambat minta tambah lagihuuuu jadi males pake apk shopee
mantap,Positif,mantap
👍🏻👍🏻👍🏻👍🏻👍🏻,Positif,
tidk bsa msuk,Negatif,tidk bsa msuk
memuaskan,Negatif,muas
gk bisa klaim koin shopee,Negatif,gk klaim koin shopee
mantappp,Positif,mantappp
aplikasi yang sangat bagus untuk online.. recommended banget,Positif,aplikasi sangat bagus online recommended banget
mamtap,Positif,mamtap
Saya sangat senang sekali dengan shope karna sangat membantu sekali,Positif,sangat senang sekali shope karna sangat bantu sekali
blanja jadi lebih gampang tapi sayang ongkirnya lumayan.,Positif,blanja jadi lebih gampang sayang ongkirnya lumayan
good,Positif,good
Semua kebutuhan saya terbantu dengan aplikasi shopee,Positif,semua butuh bantu aplikasi shopee
mantap,Positif,mantap
joosss,Positif,joosss
Aplikasi ini sangat bagus dan memuaskan,Positif,aplikasi sangat bagus muas
"semakin lama shoope amburadul, penjualnya banyak menipu konsumennya, kalau di tanya ,baca dulu diskripsinya, no komplain",Negatif,makin lama shoope amburadul jual banyak tipu konsumen kalau tanya baca dulu skripsi no komplain
lebih murah,Positif,lebih murah
wowwww,Positif,wowwww
"Aplikasi sangat berguna, tapi saran saya ... kalo barang dah gak tersedia baik warna maupun coraknya..bisa diedit oleh penjual ...",Positif,aplikasi sangat guna saran kalo barang dah gak sedia baik warna maupun coraknyabisa edit jual
bagusss,Positif,bagusss
ok,Positif,
"semenjak TDK kerja sama dengan jnt,pake shopee express pengiriman lama,biasanya 3hr sekarang jadi 5hr baru datang.👎",Negatif,semenjak tdk kerja sama jntpake shopee express kirim lamabiasanya hr sekarang jadi hr baru datang
sangat membatu beraktifitas,Positif,sangat batu beraktifitas
sangat bagus,Positif,sangat bagus
tapi sayang saya gak bisa mendownload shopi,Positif,sayang gak mendownload shopi
Ok,Positif,
"saya suka aplikasi ini cuman saya pesan, paket tidak sampai di alamat saya,terus di kembali kan barangnya ke pembeli, ke napa akun COD saya di batalkan",Negatif,suka aplikasi cuman pesan paket alamat sayaterus kan barang beli napa akun cod batal
mantep,Positif,mantep
baik pertahankan,Positif,baik tahan
menarik,Positif,tarik
"terjadi kesalahan malah tiba tiba pesanan di keranjang malah hilang semua, udah susah susah nyari satu satu malah hilang semua",Negatif,jadi salah malah tiba tiba pesan keranjang malah hilang semua udah susah susah nyari satu satu malah hilang semua
bagus,Positif,bagus
"males sama yg sekarang, awal masuk langsung ke video yg suaranya mesti bikin kaget,, gak bisa di kasih pengaturan lagi kah biar pengguna sendiri yang milih opsi?",Positif,males sama yg sekarang awal masuk langsung video yg suara mesti bikin kaget gak kasih atur biar guna sendiri milih opsi
nice apk,Positif,nice apk
simple dan cepat,Positif,simple cepat
shopee tetap di hati,Positif,shopee tetap hati
bagus,Positif,bagus
Suka enak belanja,Positif,suka enak belanja
"sudah ber tahun tahun pakai shopee yg dari dulu selalu di andalkan dan sudah bertahun tahun member platinum jg tapi sekarang ini malah akun terkena judge dengan adanya akun terindikasi pelanggaran yg padahal akun yg di pakai stardart aja pemakaian nya gak macem macem. tiap orderan selalu di cancel otomatis kalau pakai voucher tambahan, kalau di tanya salah nya di mana malah gak jawab CS nya,Aneh bin ajaib ini admin shopee nya",Negatif,ber tahun tahun pakai shopee yg dulu selalu andal tahun tahun member platinum jg sekarang malah akun kena judge ada akun indikasi langgar yg padahal akun yg pakai stardart aja pakai nya gak macem macem tiap order selalu cancel otomatis kalau pakai voucher tambah kalau tanya salah nya mana malah gak jawab cs nyaaneh bin ajaib admin shopee nya
"dituduh mlkukan hal tidak wajar trs, vocer jg vocer dr dia geje,kelanjutanya gimana sya kok di batalkan lagi ya, sy juga bayar ga ngutang pesen kok dibatalkan trs",Negatif,tuduh mlkukan wajar trs vocer jg vocer dr gejekelanjutanya gimana sya kok batal sy bayar ga ngutang sen kok batal trs
baguss,Positif,baguss
sangat membantu,Positif,sangat bantu
beli barang Harga 55rb sementara ongkir 85rb aneh shopinya,Negatif,beli barang harga rb ongkir rb aneh shopinya
aplikasi nya bagus dan bergna bgi kaum mger,Positif,aplikasi nya bagus bergna bgi kaum mger
"shopee makin lama makin malakin uang penjual dan affiliate nya alasannya juga gak jelas, kebanyakan ngeles",Negatif,shopee makin lama makin malakin uang jual affiliate nya alas gak jelas banyak ngeles
"aduhh gmn si setiap beli paket nyasar Mulu , padahal tu barang penting banget buat sekolah",Negatif,aduhh gmn si beli paket nyasar mulu padahal tu barang penting banget buat sekolah
mantap membantu,Positif,mantap bantu
good servis,Positif,good servis
sangat memuaskan,Positif,sangat muas
well,Negatif,well
memudahkan,Positif,mudah
Byk pilihan,Positif,byk pilih
gokil,Positif,gokil
kangen J&T,Positif,kangen jt
mempermudah dalam belanja,Positif,mudah belanja
"ga usah di downlod aplikasi bobrok,masa dari jakarta ke siantar 10 hari ga nyampe,ga jelas kali,hubungi cs yg jawab AI nya",Negatif,ga usah downlod aplikasi bobrokmasa jakarta siantar hari ga nyampega jelas kalihubungi cs yg jawab ai nya
sangattt bagusss,Positif,sangattt bagusss
sangat bermanfaat dan sangat membatu,Positif,sangat manfaat sangat batu
siiiiiif adanya apk shoope👍👍👍👍👍👍👍👍👍👍👍👍,Positif,siiiiiif ada apk shoope
Bagus sekali,Positif,bagus sekali
"tanya kak, kenapa ya 2hari ini tbtb shopee ku gak bisa dibuka ? selalu mental tiap di buka pdhl ada notif",Positif,tanya kak hari tbtb shopee ku gak buka selalu mental tiap buka pdhl notif
"aplikasi ok,",Positif,aplikasi
mantap aplikasi bagus selama berbelanja selalu lancar dan gak ada masalah sama sekali,Positif,mantap aplikasi bagus lama belanja selalu lancar gak masalah sama sekali
debesttt,Positif,debesttt
mantap deh pokoknya,Positif,mantap deh pokok
belanja murah ..barang orie semoga kedepannya bisa langganan terus,Positif,belanja murah barang orie moga depan langgan terus
"aplikasi paling favorit buat belanja online, sering dapet gratis ongkir bahkan diskos gede gedean, ga habis pikir ada tempat belanja online yang se gong ini, love u deh buat apk shopee ini",Positif,aplikasi paling favorit buat belanja online sering dapet gratis ongkir bahkan diskos gede gede ga habis pikir tempat belanja online se gong love u deh buat apk shopee
kebijakan ke sellernya ga waras,Negatif,bijak sellernya ga waras
keren,Positif,keren
sangat berguna,Positif,sangat guna
oke sangat bagus,Positif,oke sangat bagus
Proses pengembalian dana terlalu bertele tele dan memakan banyak waktu.. tidak ada bintang tambahan,Negatif,proses kembali dana terlalu tele tele makan banyak waktu bintang tambah
Apk anj gak bisa bikin alamat,Negatif,apk anj gak bikin alamat
ok,Positif,
sangat mudah,Positif,sangat mudah
"Aplikasi shopee memang best, dan sangat membantu, terimakasih shopee sudah meringankan urusan ku🙏",Positif,aplikasi shopee memang best sangat bantu terimakasih shopee ringan urus ku
online shop yang bisa memenuhi kebutuhan anda,Positif,online shop penuh butuh
mantap,Positif,mantap
suka,Positif,suka
sesuai pesanan bagus dan cepat,Positif,sesuai pesan bagus cepat
"belanja lebih mudah,bermacam2 yg d butuhkan ada,,??harga terjangkau,,",Positif,belanja lebih mudahbermacam yg d butuh adaharga jangkau
shopee memang mantap,Positif,shopee memang mantap
mantap,Positif,mantap
suka belanja di sini,Positif,suka belanja sini
cukup baik,Positif,cukup baik
"Shopee sekarang semakin buruk, setelah fitur pengiriman jnt express di tiadakan skrang malah fitur cod di tiadakan juga. jadi lebih nyaman pakai aplikasi sebelah buat belanja online",Negatif,shopee sekarang makin buruk fitur kirim jnt express tiada skrang malah fitur cod tiada jadi lebih nyaman pakai aplikasi belah buat belanja online
mntp pool,Positif,mntp pool
bagus saya suka belanja dishopee,Positif,bagus suka belanja dishopee
apk bagus sih cuma kalau masalah toko Shopee nyaaaa😭😭😭,Positif,apk bagus sih cuma kalau masalah toko shopee nyaaaa
pesanan sudah diterima tapi labat dari. jadwal pengiriman....trimksh,Positif,pesan terima labat jadwal pengirimantrimksh
sangat membantu,Positif,sangat bantu
sangat mudah dan murah untuk belanja online,Positif,sangat mudah murah belanja online
aplikasi yg bagus,Positif,aplikasi yg bagus
"Alhamdulillah sangat terbantu meskipun terkadang ketika merubah metode pembayan kok harga jadi sangat banyak selisihnya, kenapa ?",Positif,alhamdulillah sangat bantu meski terkadang rubah metode pembayan kok harga jadi sangat banyak selisih
mantap,Positif,mantap
masa gak ada via dana sih kuno lu anjirrr,Negatif,masa gak via dana sih kuno lu anjirrr
sangat bermanfaat dan saat pengiriman barang sampai tepat wakktu,Positif,sangat manfaat kirim barang tepat wakktu
"tambahin qris dong min, biar ga ribet langsung tinggal scan aja",Negatif,tambahin qris dong min biar ga ribet langsung tinggal scan aja
"setiap buka aplikasinya selalu muncul video di awal, ganggu bngt sih. aplikasinya juga jadi terlalu berat karena banyak fitur-fitur jelek yang ga guna.",Negatif,buka aplikasi selalu muncul video awal ganggu bngt sih aplikasi jadi terlalu berat banyak fiturfitur jelek ga
dk usahh di download dk enak,Negatif,dk usahh download dk enak
baik,Positif,baik
murah meriah😁,Positif,murah riah
good,Positif,good
ok.👍lngsung acc,Positif,oklngsung acc
tolong yg punya. apk di sortir kurirny yg males saya prihatin masa pengiriman barang sudah 2hr di tunda mulu pedagang yang cuma pajang aj,Negatif,yg punya apk sortir kurirny yg males prihatin masa kirim barang hr tunda mulu dagang cuma pajang aj
kadang rusak kadang bagus,Positif,kadang rusak kadang bagus
good,Positif,good
bjnya like new bahan lembut bagus n dpt bonus pula recomended,Positif,bjnya like new bahan lembut bagus n dpt bonus recomended
"Tolong SHOPEE videonya di Filter lah, enak kan ngeliat Barang barang Yang bikin kita mau belli bukannya malah video Tayangan LAPOR PAK mulu yang muncul. Konten kreator barang racun Shopee Malah ketimpah sama video Begitu. PIHAK SHOPEE harus Filter sih Konten begituan.",Negatif,shopee video filter lah enak kan ngeliat barang barang bikin mau belli bukan malah video tayang lapor pak mulu muncul konten kreator barang racun shopee malah ketimpah sama video pihak shopee filter sih konten begitu
"senang bgt bisa belanja di shopee harga sangat terjangkau terutama ongkirnya juga murah, makasih bnyak buat shopee yg mmbuat hari²ku jadi happy, gak perlu kluar rumah buat nyari barang yg unik² cukup di shopee aja.",Positif,senang bgt belanja shopee harga sangat jangkau utama ongkirnya murah makasih bnyak buat shopee yg mmbuat hari jadi happy gak perlu kluar rumah buat nyari barang yg unik cukup shopee aja
sangat memuaskan,Positif,sangat muas
biar bintang yg bicara,Negatif,biar bintang yg bicara
ngebantu puolll yg mager belanja offline,Positif,ngebantu puolll yg mager belanja offline
membantu,Positif,bantu
"tolong lah kalo masuk apk jangan langsung ke live/video, bikin berat saja apknya",Negatif,lah kalo masuk apk jangan langsung livevideo bikin berat apknya
"kali ini saya suka dengan aplikasi ini, gak usah neko2 lah, yang penting bisa berbelanja berapapun tanpa dikenakan biaya ongkir, plus pelayanan ekspedisi yang ramah dan cepat apalagi kalo ada penawaran menarik dari aplikasi saya merasa puas pertahankan 👍👍👍👍",Positif,kali suka aplikasi gak usah neko lah penting belanja berapa kena biaya ongkir plus layan ekspedisi ramah cepat kalo tawar tarik aplikasi rasa puas tahan
suka,Positif,suka
shope no 1,Positif,shope no
Mantap,Positif,mantap
shopee sangat membantu sekali,Positif,shopee sangat bantu sekali
"ini tiba2 akun gw di blokir, ga tau kenapa jdi susah buat masuk ke shopee lagi, udah segala macem cara tetep gabisa",Negatif,tiba akun gw blokir ga tau jdi susah buat masuk shopee udah segala macem cara tetep gabisa
mudah 2 . an tambah bagus ke depan ny & lbh baik lgi utk konsumen,Positif,mudah an tambah bagus depan ny lbh baik lgi utk konsumen
"sangat membantu dikala mager n bingung mesti nyari k toko mna yg kita mau, solusinya shopee praktis buat para emak"" yg mager ke aq🥰🙏",Positif,sangat bantu kala mager n bingung mesti nyari k toko mna yg mau solusi shopee praktis buat emak yg mager aq
Shopee berbelanja mudah dan murah tepat waktu,Positif,shopee belanja mudah murah tepat waktu
Mantaf,Positif,mantaf
Tidak meragukan,Positif,ragu
shopee the best,Positif,shopee the best
mudah cepat dan bersaing ini juga sudah baik semoga kedepannya jadi lebih baik👍 mantap.,Positif,mudah cepat saing baik moga depan jadi lebih baik mantap
bagus untuk membeli saya sudah pesan Dua kali,Positif,bagus beli pesan kali
baik,Positif,baik
mantap,Positif,mantap
saya suka berbelanja disini karena disini sesuai dengan ekspektasi dan harga terjangkau,Positif,suka belanja sini sini sesuai ekspektasi harga jangkau
bagus buat belanja online kecuali GK pernah belanja sihh😁,Positif,bagus buat belanja online gk pernah belanja sihh
jelek,Negatif,jelek
Terpaksa gw Download karena ada yang gw pesan. Semoga tidak mengecewakan,Positif,paksa gw download gw pesan moga kecewa
nyaman belanja d.shopee,Negatif,nyaman belanja dshopee
bagus,Positif,bagus
shopee bagus lengkap mau apa aja ada josss.,Positif,shopee bagus lengkap mau apa aja josss
transaksi mudah,Positif,transaksi mudah
shopee amanah,Positif,shopee amanah
"kebanyakan iklan & tak sesuai iklannya ""gratis ongkir""",Negatif,banyak iklan tak sesuai iklan gratis ongkir
shopi selalu dihati,Positif,shopi selalu hati
payment nya upgrade yuk pake qris biar simpel,Positif,payment nya upgrade yuk pake qris biar simpel
Baik,Negatif,baik
bagus 🤩,Positif,bagus
saya sangat sering di kasih voucher harganya murah murah waktu sampai nya tepat waktu terus,Positif,sangat sering kasih voucher harga murah murah waktu nya tepat waktu terus
bagus aja,Positif,bagus aja
semua baik baik aja,Positif,semua baik baik aja
aplikasi ini sangat membantu trima ksih,Positif,aplikasi sangat bantu trima ksih
is the best,Positif,is the best
ma ntap,Positif,ma ntap
"Cara verifikasi akun dengan KTP sangat sulit, saya menggunakan samsung j1 ace. By :anak Demak",Positif,cara verifikasi akun ktp sangat sulit guna samsung j ace by anak demak
"saya sangat menyukai aplikasi Shopee, adanya aplikasi Shopee kita bisa belanja terus😃",Positif,sangat suka aplikasi shopee ada aplikasi shopee belanja terus
waah keren,Positif,waah keren
"shopee memang mantap walaupun kadang lambat pengiriman kadang cepat juga tergantung wilayah,,pokoknya isthebest lah ..shopee apalagi kurirnya ramah. ramah...pokoknya siiiplah......",Positif,shopee memang mantap walaupun kadang lambat kirim kadang cepat gantung wilayahpokoknya isthebest lah shopee kurir ramah ramahpokoknya siiiplah
"saya ragu"" beli barang",Positif,ragu beli barang
baik,Positif,baik
good,Positif,good
"sangat sekali membantu,namun saya harap dj bantu barang yamg berkualitas dan real",Positif,sangat sekali membantunamun harap dj bantu barang yamg kualitas real
bagus...,Positif,bagus
bagus,Positif,bagus
semakin jaya,Positif,makin jaya
sngt bermaat shopee bgi sya,Positif,sngt bermaat shopee bgi sya
mantap,Positif,mantap
udah kecintaan banget sama shopee wkwkwk🧡,Positif,udah cinta banget sama shopee wkwkwk
Mantap....,Positif,mantap
mantap,Positif,mantap
mantap bgt,Positif,mantap bgt
"sesuai jadwal barang datang dan, tidak rusak.",Positif,sesuai jadwal barang datang rusak
puas belanja di sini,Positif,puas belanja sini
"selama ini oke² aja belanja disini, smpe satu saat mengalami kendala. penjual sengaja ngirim barang ga lengkap pdhl uang udh di tf dan saat itu saya ga sengaja klik pesanan selesai akhirnya dana diserahkan ke penjual, dan setelah komunikasi ke penjual emng niatnya mau nipu uang saya ga dikembalikan, coba minta bantuin shopee smpe udh laporin toko nya tp gaada tanggepan dari pihak shopee, pihak shopee tidak mau membantu atas permasalahan sya, jadi males belanja disini lagi:)",Negatif,lama oke aja belanja sini smpe satu alami kendala jual sengaja ngirim barang ga lengkap pdhl uang udh tf ga sengaja klik pesan selesai akhir dana serah jual komunikasi jual emng niat mau nipu uang ga kembali coba minta bantuin shopee smpe udh laporin toko nya tp gaada tanggepan pihak shopee pihak shopee mau bantu atas masalah sya jadi males belanja sini
lebih mudah belanja tanpa ribet,Positif,lebih mudah belanja ribet
shoppe is the best,Positif,shoppe is the best
sangat membantu pengetahuan saya4,Positif,sangat bantu tahu
Aplikasi sangat membantu,Positif,aplikasi sangat bantu
ok bgt,Positif,bgt
bagus,Positif,bagus
lumayan bagus lah jawaban ku singkat padat tapi benar,Positif,lumayan bagus lah jawab ku singkat padat benar
sangat bgus bngett,Positif,sangat bgus bngett
sangat bagus onek,Positif,sangat bagus onek
bagussss,Positif,bagussss
sfopee bagus toko tokonya sangat jujur dikirim sesuai dg yg dipesan saya tidak pernah kecewa dan sangat membantu,Positif,sfopee bagus toko toko sangat jujur kirim sesuai dg yg pes pernah kecewa sangat bantu
"sangat mengecewakan !!! akun penjual di batasi karena menjual barang yang tidak diperbolehkan , padahal baru pertama kali melakukan kesalahan karena belum tau perihal peraturan tersebut ,diminta buat surat pernyataan dan sudah dibuat tapi tidak ada perubahan. akun pembeli juga kena imbasnya Spinjam dan Paylater tidak bisa digunakan juga. tidak ada peneguran keras seperti jika mengulangi lagi baru di batasi tapi baru sekali langsung di batasi. pelayanan sangat menurun dibandingkan dulu",Negatif,sangat kecewa akun jual batas jual barang boleh padahal baru pertama kali laku salah tau perihal atur sebut minta buat surat nyata buat ubah akun beli kena imbas spinjam paylater guna tegur keras ulang baru batas baru sekali langsung batas layan sangat turun banding dulu
bagus,Positif,bagus
"belanja cerdas, akurat dan memuaskan",Positif,belanja cerdas akurat muas
"selaluu yg terbaik,, terimakasih shopee.. terimaksih Abang kurirrr🙏🙏",Positif,selaluu yg baik terimakasih shopee terimaksih abang kurirrr
the best pokoknya shopee,Positif,the best pokok shopee
puas blja disini 👍👍,Positif,puas blja sini
setiap kali saya pesan menggunakan shopeepay dan spaylater pasti pesanan saya tidak pernah diantar ataupun dichat... baru kali ini diginiin 😤😠,Negatif,kali pesan guna shopeepay spaylater pesan pernah antar atau dichat baru kali diginiin
cara belanja praktis tinggal pencet hp,Positif,cara belanja praktis tinggal pencet hp
terbaik pelayanan cepat,Positif,baik layan cepat
sangaaatt membantuu bermanfaat utk smua²nya sy tdk pernah psn kemana² always shopee,Positif,sangaaatt membantuu manfaat utk smuanya sy tdk pernah psn always shopee
mantap,Positif,mantap
sangat bagus dan membantu,Positif,sangat bagus bantu
mudah di gunakan. terpercaya,Positif,mudah guna percaya
bagus banget sii bikin ketagihan wkwk,Positif,bagus banget sii bikin tagih wkwk
bagus sanga baik,Positif,bagus sanga baik
belanja di shopee sangat lah puas ....,Positif,belanja shopee sangat lah puas
sangat suka,Positif,sangat suka
pelayanan sangat memuaskan..,Positif,layan sangat muas
jelek,Negatif,jelek
mksih shopi,Positif,mksih shopi
bagus,Positif,bagus
