ulasan,kategori,clean
shopee baik sngat membantu untk orng2 yg jarng keluar belanja2🙏,Positif,shopee baik sngat bantu untk orng yg jarng keluar belanja
sangat bagus,Positif,sangat bagus
sangat bermanfaat,Positif,sangat manfaat
saya tidak bisa bayar di tempat,Negatif,bayar tempat
ok banget,Positif,banget
saya cocok belanja di shopee,Positif,cocok belanja shopee
pas mantap,Positif,pas mantap
bagusd,Positif,bagusd
sangat bagus,Positif,sangat bagus
Good app.,Positif,good app
Barang sesuai pesanan dan tepat waktu serta kurir juga ramah. terimakasih 🙏,Positif,barang sesuai pesan tepat waktu kurir ramah terimakasih
Alhamdulillah aplikasi sopii sangat membantu saya,Positif,alhamdulillah aplikasi sopi sangat bantu
top markotop deh !!! nagih terus belanja di shoppe,Positif,top markotop deh nagih terus belanja shoppe
praktis dan efisien,Positif,praktis efisien
"belanja puas...pengiriman cepat,rapi,,,,,",Positif,belanja puaspengiriman cepatrapi
responnya cepat,Positif,responnya cepat
bagus sekali,Positif,bagus sekali
siap pengiriman lebih cepat,Positif,siap kirim lebih cepat
apk tolol masak udh di tulis gratis ongkir tapi gak gratis ongkir. mana ongkirnya mahal Lagi,Negatif,apk tolol masak udh tulis gratis ongkir gak gratis ongkir mana ongkirnya mahal
sangat puas dengan barang yng saya cod paa dngn pesanan saya,Positif,sangat puas barang yng cod paa dngn pesan
Sangat memeuaskan,Positif,sangat memeuaskan
"Apk nya udh bagus tapi sering eror kadang gk bisa checkout, tolong di perbaiki ya min",Positif,apk nya udh bagus sering eror kadang gk checkout baik min
sangat memuaskan,Positif,sangat muas
belanja cepat dan nyaman,Positif,belanja cepat nyaman
Mantap berbelanja di Shopee banyak diskonnya dan sesuai minat,Positif,mantap belanja shopee banyak diskon sesuai minat
bagus,Positif,bagus
"sekarang layanan pembayaran shopee bisa 0 rupiah ongkirnya,semoga tidak berlaku sementara😂🤣 gratis ongkir ini",Positif,sekarang layan bayar shopee rupiah ongkirnyasemoga laku gratis ongkir
bagus bagus bangettttt,Positif,bagus bagus bangettttt
afk nya bagus dan sangat membantu cuma sekarang kecewa sama estimasi tiba nya pengemasan+pengiriman nya lama banget mohon d perbaiki lagi🙏,Positif,afk nya bagus sangat bantu cuma sekarang kecewa sama estimasi tiba nya pengemasanpengiriman nya lama banget mohon d baik
mantap,Positif,mantap
luar biasa,Positif,luar biasa
"bisa blnja apa aja,sllu gratis ongkir+voucher jg",Positif,blnja apa ajasllu gratis ongkirvoucher jg
ok.lah sukses,Positif,oklah sukses
"saldo shoppepay cukup tapi tidak bisa buat bayar, aneh",Negatif,saldo shoppepay cukup buat bayar aneh
sangat membantu melayani dengan setulus hati 🔥🤩❤️,Positif,sangat bantu layan tulus hati
"Pengiriman daerah gunung putri mulai payah lagi , paket selalu dicancel sama kurirnya",Positif,kirim daerah gunung putri mulai payah paket selalu dicancel sama kurir
"barang sesuai pesanan,pengiriman cepat",Positif,barang sesuai pesananpengiriman cepat
semoga ada promo khusus untuk pembayaran via Spaylater,Positif,moga promo khusus bayar via spaylater
pelayanan bagus,Positif,layan bagus
sangat memuaskan,Positif,sangat muas
kalo pake spx lama banget yah! jnt 6 hari ke makassar udah nyampe ini udah 8 hari belum juga nyampe di makassar! estimasinya sampe tgl 23-25! kecewa sih! padahal pake jnt 1 minggu udah nyampe dirumah,Negatif,kalo pake spx lama banget yah jnt hari makassar udah nyampe udah hari nyampe makassar estimasi sampe tgl kecewa sih padahal pake jnt minggu udah nyampe rumah
GOOD JOB,Positif,good job
good,Positif,good
belanja lebih mudah,Positif,belanja lebih mudah
bagus,Positif,bagus
cocok untuk beli² barang yang tidak punya atau bisa mendapat diskon lebih murah,Positif,cocok beli barang punya dapat diskon lebih murah
cepat,Positif,cepat
Good,Positif,good
Dari dulu gak pernah di benerin sering freeze pas lagi scroll sampai sampai hp gak bisa di pencet,Negatif,dulu gak pernah benerin sering freeze pas scroll hp gak pencet
shoppe sekarang pengiriman lama dan kurir yg ngantar paket juga lama ngantar nya.,Negatif,shoppe sekarang kirim lama kurir yg ngantar paket lama ngantar nya
diskon ongkirnya banyak,Positif,diskon ongkirnya banyak
shopee aplikasi parah..udj gt koin gak dipake ilang terus bukannya nambah yrs eh tiba2 bs nol udh shopeepay later dibekuin kending ke aplikasi lain aja yg lebih menjanjikan,Negatif,shopee aplikasi parahudj gt koin gak dipake ilang terus bukan nambah yrs eh tiba bs nol udh shopeepay later dibekuin kending aplikasi aja yg lebih janji
belanja menjadi lebih hemat 😋👍,Positif,belanja jadi lebih hemat
Pelayanan kepada konsumen bagus dan cepat.👍,Positif,layan konsumen bagus cepat
sukses sll ke depan,Positif,sukses sll depan
belanja diShoope barang selalu baik dan Toko2 nya terpercaya 😊👌,Positif,belanja dishoope barang selalu baik toko nya percaya
belanja online yang terpercaya,Positif,belanja online percaya
semoga lancar selalu amanah,Positif,moga lancar selalu amanah
mksh shopee semoga sukses . sangat membantu saya semenjak pakai shopee 🙏🙏🙏,Positif,mksh shopee moga sukses sangat bantu semenjak pakai shopee
Jujurly ane sangat puas dengan belanja di shoppe beli appun psti harga nya murah plus ada diskon ditambah lagi gratis ongkir,Positif,jujurly ane sangat puas belanja shoppe beli appun psti harga nya murah plus diskon tambah gratis ongkir
cepat sampai klo pesan di sini,Positif,cepat klo pesan sini
ok,Positif,
Ok,Positif,
smga terus dpt dipercaya...sll on time n jujur.. jaga terus trust ok...terimksih.. smga lancar...............................,Positif,smga terus dpt dipercayasll on time n jujur jaga terus trust okterimksih smga lancar
Good,Positif,good
terimakasih saya sering jajan dan makan di sini semoga terjamin terus rasa enak nya,Positif,terimakasih sering jajan makan sini moga jamin terus rasa enak nya
mempermudah untuk belanja segala kebutuhan klrg,Positif,mudah belanja segala butuh klrg
sangat bermanfaat,Positif,sangat manfaat
bagus,Positif,bagus
"fast respon, dan cepat tanggap, walaupun belum terlihat hasil dari pengaduan nya",Positif,fast respon cepat tanggap walaupun lihat hasil adu nya
"sangat puas ,pelayanan dan barang -barangnya tidak mengecewakan",Positif,sangat puas layan barang barang kecewa
ok,Positif,
3 jam cm scroll shopee batre HP terkuras 52%. nunggu kode otp sampe 2 jam. beda sama yg ijo. si ijo scroll 3 jam cm nguras batre 29% 💚💚,Negatif,jam cm scroll shopee batre hp kuras nunggu kode otp sampe jam beda sama yg ijo si ijo scroll jam cm nguras batre
tq sangat membantu,Positif,tq sangat bantu
sangat membantu,Positif,sangat bantu
sangat cepat dan murah belanja,Positif,sangat cepat murah belanja
Ok,Positif,
terpercaya.. cuma sayang free ongkirnya mulai banyak syarat,Positif,percaya cuma sayang free ongkirnya mulai banyak syarat
mantap,Positif,mantap
mantap terpercaya,Positif,mantap percaya
mantap,Positif,mantap
good,Positif,good
"ga usah di download, gua udah muak, lagi enak main game tiba tiba ada iklan ini, iklan nya paling lama lagi, ga dapet tenang, stress lama lama, ngeselin banget",Negatif,ga usah download gua udah muak enak main game tiba tiba iklan iklan nya paling lama ga dapet tenang stress lama lama ngeselin banget
bagus dan murah,Positif,bagus murah
luar biasa,Positif,luar biasa
👍💯,Positif,
apk goks :),Positif,apk goks
bagus,Positif,bagus
ok,Positif,
Katanya transfer ke bank gratis(tertera tulisan) tapi kena biaya admin 2500..Hadeeeehhh..kenapa ya jaman sekarang susah sekali cari sesuatu yg jujur.,Negatif,kata transfer bank gratistertera tulis kena biaya admin hadeeeehhhkenapa jaman sekarang susah sekali cari yg jujur
menggangu iklanya,Negatif,menggangu iklanya
sangat puas menggunakan aplikasi ini banyak sekali promo besar,Positif,sangat puas guna aplikasi banyak sekali promo besar
"belanja mudah, pengiriman cepat, bnyk promo, top bgtt👍👍👍👍👍",Positif,belanja mudah kirim cepat bnyk promo top bgtt
gacor,Positif,gacor
"Shopee sangat membantu , terutama layanan COD nya",Positif,shopee sangat bantu utama layan cod nya
"aku suka banget sama apk ini, selain pengiriman cepat, barangnya juga selalu bagus, walau terkadang ada yang salah tapi tetep bestt, di tingkatkan lagi ya kk pengirimannya",Positif,aku suka banget sama apk kirim cepat barang selalu bagus terkadang salah tetep bestt tingkat kk kirim
Alhamdulilla blanja di shpee selama ini selalu tepat orderan sampai sesuai ektimasi mantap,Positif,alhamdulilla blanja shpee lama selalu tepat order sesuai ektimasi mantap
terimakasih,Positif,terimakasih
wow,Positif,wow
sangat membantu kalau lgi malas keluar rumah,Positif,sangat bantu kalau lgi malas keluar rumah
"shopee kalo udah hebat aplikasinya banyak peminat dan pembelinya JANGAN pake iklan ORANG LUAR pemain bola,gimanaa sich,emang larisnya ama orang luar negeri YAH???",Negatif,shopee kalo udah hebat aplikasi banyak minat bel jangan pake iklan orang luar main bolagimanaa sichemang laris ama orang luar negeri yah
bisa cod cek dulu ditempat. baru mantap,Positif,cod cek dulu tempat baru mantap
barang bagus gak bikin kecewa 👍👍👍👍👍,Positif,barang bagus gak bikin kecewa
👍,Positif,
ok,Positif,
👍🏿,Positif,
mantull kurir baik ramah tepat waktu dan pengiriman cepat,Positif,mantull kurir baik ramah tepat waktu kirim cepat
"lancar,aman...",Positif,lancaraman
"bagus sekali pelayanannya,sangat puas",Positif,bagus sekali pelayanannyasangat puas
"shopee belanja online paling oke n kurirnya ramah2 n estimasi tiba cepat, n banyak flase sale nya",Positif,shopee belanja online paling oke n kurir ramah n estimasi tiba cepat n banyak flase sale nya
pelayanan bagus tapi aplikasi sering ngebug,Negatif,layan bagus aplikasi sering ngebug
sooppy bagus saya suka barangnya sesuai Poto pengiriman nya jga cepat ♥️,Positif,sooppy bagus suka barang sesuai poto kirim nya jga cepat
alhmdulilah shoope amanah semoga.kedepan nya melahirkan generasi2 jujur dlm berniaga di shoope,Positif,alhmdulilah shoope amanah semogakedepan nya lahir generasi jujur dlm niaga shoope
"Saya setiap pesen di shopee. Pelayanannya bagus, cepat. Barangnya memuaskan sesuai pesanan.",Positif,sen shopee layan bagus cepat barang muas sesuai pesan
banyakin LG diskon,Positif,banyakin lg diskon
Ok,Positif,
ok gas,Positif,gas
shopee ttp di hati,Positif,shopee ttp hati
JUJUR JIJIK KALI AKU MELIHAT APLIKASI NGERI KALI VIRUSNYA APAPUN YANG DIBUKA DI BROWSER SELALU DIALIHKAN KE APLIKASI INI,Negatif,jujur jijik kali aku lihat aplikasi ngeri kali virus apa buka browser selalu alih aplikasi
bagus bisa mesan barang,Positif,bagus mesan barang
sangat membantu,Positif,sangat bantu
mudah mencari kebutuhan otomotif,Positif,mudah cari butuh otomotif
bagus barang apa saja ada,Positif,bagus barang apa
celana tebal dan kain x halus,Positif,celana tebal kain x halus
bagus,Positif,bagus
"shopee ini baguss bgtt sebenernyaa akuu sllu belanja disinii tapii yg bkinn akuu kecewaaa dikitt ituu notif nyaa ,emngg sii bisaa di nonaktifkan tapii kann biart sambill ngecekk' gtuu biar gaa bolak balik ke shopee nyaa tp sklinya muncul notif shopee yg sbenernya ga penting ke kita ITU BIKIN HP NGELAG BGTT PARAHHH",Positif,shopee baguss bgtt sebenernyaa akuu sllu belanja sini tapi yg bkinn akuu kecewaaa dikitt ituu notif nyaa emngg sii bisaa nonaktif tapi kann biart sambill ngecekk gtuu biar gaa bolak balik shopee nyaa tp sklinya muncul notif shopee yg sbenernya ga penting bikin hp ngelag bgtt parahhh
limitnya kurang,Positif,limit kurang
Buruk pakai jasa kirim spx express akhir2 ini pesanan selalu datang terlambat melebihi estimasi yang ditentukan payahhh!!!,Negatif,buruk pakai jasa kirim spx express akhir pesan selalu datang lambat lebih estimasi tentu payahhh
mantap🗿,Positif,mantap
pengiriman sekarang benar2 lama dari estimasi 3/4 hari nyatanya sampe 9-10 hari wkwwk,Negatif,kirim sekarang benar lama estimasi hari nyata sampe hari wkwwk
wow,Positif,wow
Exelent 👍,Positif,exelent
"sangat Bagus Aplikasi ini, memuaskan apa yg kita pesan",Positif,sangat bagus aplikasi muas apa yg pesan
baik,Positif,baik
kurangsih kadang mahal ongkir,Positif,kurangsih kadang mahal ongkir
"tolong di perbaiki lagi, setiap kali buka apk makin lemot dan juga selalu masuk ke shopee video saat pertama buka aplikasi, tidak spt dahulu",Negatif,baik kali buka apk makin lot selalu masuk shopee video pertama buka aplikasi spt
baik,Positif,baik
"beli holder , yg datang holder sesuai keinginan... mantapp .. trims shoope",Positif,beli holder yg datang holder sesuai ingin mantapp trims shoope
ok,Positif,
pesanan tiba² di batalkan tanpa konfirmasi..saya sudah nunggu lama tiba² pesanannya di batalkan,Negatif,pesan tiba batal konfirmasisaya nunggu lama tiba pesan batal
"enak belanja di Shopee, ada gratis ongkir minus nya gk bisa bayar pake ovo, gopay dan segala macam, lain hari bisa lah buat metode pembayaran gituu dan sering"" kasih gratis ongkir ya min",Positif,enak belanja shopee gratis ongkir minus nya gk bayar pake ovo gopay segala macam hari lah buat metode bayar gituu sering kasih gratis ongkir min
puas,Positif,puas
"sangat amanah pengantarannya,dan sesuai dengan fotonya",Positif,sangat amanah pengantarannyadan sesuai foto
"pengalaman belanja yg luar biasa,banyak pilihan,banyak discount,gratis ongkir dll. pokoknya shopee jozz...",Positif,alam belanja yg luar biasabanyak pilihanbanyak discountgratis ongkir pokok shopee jozz
iklan nya ngeselin banget sering ngejebak suka ngeganggu kalo lagi di apk lain trus muncul iklan dia,Negatif,iklan nya ngeselin banget sering ngejebak suka ngeganggu kalo apk trus muncul iklan
sering bangget bug error pas mau kirim chat ke penjual jadi suka miss komunikasi,Negatif,sering bangget bug error pas mau kirim chat jual jadi suka miss komunikasi
estimasi pengiriman yg dicantumkan suka berubah² dan tidak menentu. kadang juga pengiriman barang lewat dari estimasi yg tertera di aplikasi.,Positif,estimasi kirim yg cantum suka ubah tentu kadang kirim barang lewat estimasi yg tera aplikasi
pokoknya puas dgn service nya👍🙏,Positif,pokok puas dgn service nya
"aplikasi yang sudah jauh berkembang sekarang jauh lebih laik , mantap 👍 banyak terbantu semoga tetap konsisten ⭐⭐⭐⭐⭐",Positif,aplikasi jauh kembang sekarang jauh lebih laik mantap banyak bantu moga tetap konsisten
barang yg di kirim sesuai yg kita pesan,Positif,barang yg kirim sesuai yg pesan
Baik and bisa dipercaya,Positif,baik and percaya
kurir nya gak pake sop kirim barang salah mulu... gw rugi waktu juga nungguin barang sampe... di training lagi dong kurir nya... cara baca alamat cara baca maps.. jangan sampe barang dikirim ke orang yg salah... rugi seller rugi customer juga kalo shopee piara kurir modelan gini semua,Negatif,kurir nya gak pake sop kirim barang salah mulu gw rugi waktu nungguin barang sampe training dong kurir nya cara baca alamat cara baca maps jangan sampe barang kirim orang yg salah rugi seller rugi customer kalo shopee piara kurir model gin semua
"Shoppee emang the best , barang nya realpict",Positif,shoppee emang the best barang nya realpict
Memuaskan responsif terimakasih banget shopee,Positif,muas responsif terimakasih banget shopee
nice,Positif,nice
kasi bintang 5 karna sering dpt diskon wkwk,Positif,kasi bintang karna sering dpt diskon wkwk
Sangat memuaskan,Positif,sangat muas
terimakasih shopee mantap,Positif,terimakasih shopee mantap
sangat membantu,Positif,sangat bantu
shopee mantap.,Positif,shopee mantap
belaja di shopee makin oke aja,Positif,baja shopee makin oke aja
"sangat memudahkan pekerjaan saya dan kebutuhan kerja ,, banyak pilihan dalam satu kali buka aplikasi makasih",Positif,sangat mudah kerja butuh kerja banyak pilih satu kali buka aplikasi makasih
SEMENJAK GANTI PAKE SPX PENGIRIMAN LAMBATTT BANGETTTTTTTT MENDING BELI DI TIKTOK DAH,Negatif,semenjak ganti pake spx kirim lambattt bangetttttttt mending beli tiktok dah
mantab,Positif,mantab
murah murah dn gratis ongkir,Positif,murah murah dn gratis ongkir
Belanja segala jenis keperluan jadi lebih mudah dam nyaman,Positif,belanja segala jenis perlu jadi lebih mudah dam nyaman
aplikasi yang bagus.. sangat membantu,Positif,aplikasi bagus sangat bantu
barangnya murah murah tapi kualitas bagus jadi suja deh ama shopee,Positif,barang murah murah kualitas bagus jadi suja deh ama shopee
sangat baik,Positif,sangat baik
"nih shopee beneran, barang gak sampe, 3x komplain ke pihak jasa kirim gk ada solusi, gk di lanjut ke kurir dimana itu barang?",Negatif,nih shopee beneran barang gak sampe x komplain pihak jasa kirim gk solusi gk lanjut kurir barang
asik,Positif,asik
mudah TDK ribet,Positif,mudah tdk ribet
"pengiriman cepat, barang murah dan sesuai pesanan",Positif,kirim cepat barang murah sesuai pesan
tidak ada metode pembayaran melalui dana,Negatif,metode bayar lalu dana
bagus,Positif,bagus
Shoppe skrg pengiriman telat terus,Negatif,shoppe skrg kirim telat terus
enak,Positif,enak
mantappppp....,Positif,mantappppp
bagus banget,Positif,bagus banget
"perbaiki keamanan untuk user lu, gampang banget sistem lu di bobol sama org gk bertanggungjawab dan di ambil data untuk dijadikan tindakan penipuan melalui telpon dengan iming-iming bekerja sama dengan apk shopee, atau data pernah ada di apk olshop, perbaiki keamanan aplikasi lu yg bener jgn cuma iklan doang dibanyakin",Negatif,baik aman user lu gampang banget sistem lu bobol sama org gk bertanggungjawab ambil data jadi tindak tipu lalu telpon imingiming kerja sama apk shopee data pernah apk olshop baik aman aplikasi lu yg bener jgn cuma iklan doang dibanyakin
Terbaik,Positif,baik
harga ongkir banyak gratisan nya juga terjangkau👍,Positif,harga ongkir banyak gratis nya jangkau
Sangat Bagus,Positif,sangat bagus
Mantapp,Positif,mantapp
nyaman saat berbelanja di shopee ini harganya lumayan puas,Positif,nyaman belanja shopee harga lumayan puas
shopee sekarang semakin berat apknya,Negatif,shopee sekarang makin berat apknya
baik,Positif,baik
mantab,Positif,mantab
hebat,Positif,hebat
sangat bagus dan ini apliksi yang amanah dan terjangkau,Positif,sangat bagus apliksi amanah jangkau
bagus,Positif,bagus
Bermanfaat,Positif,manfaat
mantap sama diskonya,Positif,mantap sama disko
sangat memuaskan,Positif,sangat muas
ok,Positif,
josss,Positif,josss
shopi pas dngn pesanan merek n barangnya,Positif,shopi pas dngn pesan merek n barang
bisa membeli barang dengan cara yang mudah,Positif,beli barang cara mudah
"apk ini sangat cocok untuk di rekomendasi ke teman""",Positif,apk sangat cocok rekomendasi teman
Kenapa ya tidak bisa di update,Positif,update
bagus banget,Positif,bagus banget
"good,aku ga kasih ulasan banyak,tapi apa nya sangat berfungsi dengan baik,dan juga banyak sekali promo dan voucher, member baru juga bakal mendapatkan potongan harga ongkir,gila sih keren banget",Positif,goodaku ga kasih ulas banyaktapi apa nya sangat fungsi baikdan banyak sekali promo voucher member baru bakal dapat potong harga ongkirgila sih keren banget
baguss...mantappp.,Positif,bagussmantappp
"aplikasi belanja online paling bagus sih, tapi dulu kalau co pasti datang nya lama bgt tapi skrg nggak cuma nunggu 1harian langsung datang",Positif,aplikasi belanja online paling bagus sih dulu kalau co datang nya lama bgt skrg cuma nunggu hari langsung datang
bagus,Positif,bagus
apk bangsakt kurir nya gak mau nganter ke lokasi kan tolonl,Negatif,apk bangsakt kurir nya gak mau nganter lokasi kan tolonl
yang ngebedain sama virus cuma bisa belanja doang,Negatif,ngebedain sama virus cuma belanja doang
belanja ongkirnya murah,Positif,belanja ongkirnya murah
bagus,Positif,bagus
mantap,Positif,mantap
biarlah bintang yg bicara,Positif,biar bintang yg bicara
sangat membantu apa yg menjadi kebutuhan yg di ingin kan,Positif,sangat bantu apa yg jadi butuh yg kan
sangat membantu,Positif,sangat bantu
Alhamdulillah senang melihat nya,Positif,alhamdulillah senang lihat nya
ok mantap,Positif,mantap
"maaf kak, saya pakai alamat yang di rumah saya, tapi kok malah alamat lain sih, gimana sih, padahal udah benar ini loh.",Negatif,maaf kak pakai alamat rumah kok malah alamat sih gimana sih padahal udah benar loh
buagus banget banyak vocher dan gratis ongkir,Positif,buagus banget banyak vocher gratis ongkir
"pengiriman lelet melebihi estimasi, padahal pesan reguler",Negatif,kirim lelet lebih estimasi padahal pesan reguler
aplikasi nya sangat bagus dan menarik banyak barang-barang yang sangat menarik,Positif,aplikasi nya sangat bagus tarik banyak barangbarang sangat tarik
"diskon, gratis ongkir, prosesnya bagus smua apalagi kalo mau pengembalian dana lgsung balik 100% note: ini menurut gw ya selama gw make shopee",Positif,diskon gratis ongkir proses bagus smua kalo mau kembali dana lgsung balik note gw lama gw make shopee
mantap barang nya,Positif,mantap barang nya
beberapa hari ini mengecewakan,Positif,beberapa hari kecewa
"cara mudah mencari keperluan kita,gampang dan TDK ribet",Positif,cara mudah cari perlu kitagampang tdk ribet
shopee emang termurahh🧡,Positif,shopee emang termurahh
cocok,Positif,cocok
sangat suka pesan shopee,Positif,sangat suka pesan shopee
ok,Positif,
semoga tidak mengecewakan,Positif,moga kecewa
"sayang sekali semakin kesini, barang yg dikirim tidak sesuai, ini sangat merugikan kami yg dari tempat jauh hanya menggunakan jastip, beberapa kali pesan, banyak barang yang datangnya tidak sesuai",Negatif,sayang sekali makin kesini barang yg kirim sesuai sangat rugi yg tempat jauh guna jastip beberapa kali pesan banyak barang datang sesuai
"sangat mengesalkan tiap baca manga atau apapun di geogle malah otomatis ngebuka ke shopee, bug bangke",Negatif,sangat kesal tiap baca manga apa geogle malah otomatis ngebuka shopee bug bangke
belanja di shopee enak harga nya murah meriah,Positif,belanja shopee enak harga nya murah riah
senang sekali saya belanja di sopee late ini..karena banyak promo dan banyak vocher jadi ongkirnya murah sekali terkadang malah gak ada ongkir juga.. pokoknya rekomendiit banget dahh🥰🥰,Positif,senang sekali belanja sopee late inikarena banyak promo banyak vocher jadi ongkirnya murah sekali terkadang malah gak ongkir pokok rekomendiit banget dahh
bagus murah meriah,Positif,bagus murah riah
Terimakasih🙏,Positif,terimakasih
shopee ok,Positif,shopee
"sdh banyak belanj dl di shoppy alhamdulillah blom pernah kena zonk, terimakasih shoppy sdh hadir untuk mempermudah kami para kaum ibu2 mager untuk bisa tetap punya barang impian🙏👍☺",Positif,sdh banyak belanj dl shoppy alhamdulillah blom pernah kena zonk terimakasih shoppy sdh hadir mudah kaum ibu mager tetap punya barang impi
belanja lebih mudah dan gampang,Positif,belanja lebih mudah gampang
shopee tempat belanjanya memang bagus tapi sayang ngegaji kurir telat² terus. uang COD gak boleh pending. gaji karyawan pending malah gak di urus. perusahaan gede gini ngegaji karyawan telat². mana ada gaji dedicate di cicil kan lucu.,Positif,shopee tempat belanja memang bagus sayang ngegaji kurir telat terus uang cod gak pending gaji karyawan pending malah gak urus usaha gede gin ngegaji karyawan telat mana gaji dedicate cicil kan lucu
ok,Positif,
"Terima kasih buat shopee barang sampai ketujuan tepat waktu, salesnya ramah semoga tambah amanah",Positif,terima kasih buat shopee barang tuju tepat waktu salesnya ramah moga tambah amanah
tes app shopee,Positif,tes app shopee
selalu cocok dengan shopee,Positif,selalu cocok shopee
sangat puas,Positif,sangat puas
ok banget,Positif,banget
Senang belanja disini banyak pilihan barangnya,Positif,senang belanja sini banyak pilih barang
semua ada,Positif,semua
ok mantap,Positif,mantap
lemayan membantu,Positif,layan bantu
Bagus,Positif,bagus
Mempermudah belanja online di Shopee dengan harga terjangkau,Positif,mudah belanja online shopee harga jangkau
Terimakasih shopee telah hadir sangat membantu dlm memenuhi kebutuhan pelayanan pembelian,Positif,terimakasih shopee hadir sangat bantu dlm penuh butuh layan beli
"terima kasih shopee., belanja semakin mudah",Positif,terima kasih shopee belanja makin mudah
bagus,Positif,bagus
"Terkadang aplikasi memang lemot kadang juga gk, untuk penjualan produk terbilang lengkap semua yg di cari pasti ada, untuk kedepannya semoga aplikasinya jangan sering"" Lemot ya 😍",Positif,terkadang aplikasi memang lot kadang gk jual produk bilang lengkap semua yg cari depan moga aplikasi jangan sering lot
Baik bagus,Positif,baik bagus
claim yg dah di kumpulkan malah gagal masuk ke datanya aneh bngt... setiap hari nonton nungguin dan main shopee mlh pas tarik koin mlh gagal . terus koin pun berkurang aneh bngt... aturan KLO gagal koin yg di kumpulkan jgn berkurang lah,Negatif,claim yg dah kumpul malah gagal masuk data aneh bngt hari nonton nungguin main shopee mlh pas tarik koin mlh gagal terus koin kurang aneh bngt atur klo gagal koin yg kumpul jgn kurang lah
kenapa kak dari Shopee gk ada pertngungjwabnnya? saya mau log in tpi dri snanya ditolak untuk login pdhl dishope pay later ada duit nya loh? cari duit itu gak gmpang loh kak? tapi knpa gak ada jwbnyaya kalau sudh macam ini??,Negatif,kak shopee gk pertngungjwabnnya mau log in tpi dri snanya tolak login pdhl dishope pay later duit nya loh cari duit gak gmpang loh kak knpa gak jwbnyaya kalau sudh macam
setelah update ada tulisan cari teman facebook di atas layar sangattttt menganggu mata. ! tolong hilangkan itu,Negatif,update tulis cari teman facebook atas layar sangattttt menganggu mata hilang
"jujur awal nya saya suka bangat sma apk ini,tapi sekarang jlk bangat,di karnakan ga bisa cod lagi di alamat",Negatif,jujur awal nya suka bangat sma apk initapi sekarang jlk bangatdi karnakan ga cod alamat
baik,Positif,baik
bagus,Positif,bagus
sangat membantu,Positif,sangat bantu
bagus dan cepat,Positif,bagus cepat
"kenapa sekarang tidak bisa lagi pesan hari ini sampai hari ini ? di dalam kota yang sama dan tidak jauh,harus 2 atau 3 hari pulak baru sampai ... makin aneh",Negatif,sekarang pesan hari hari kota sama jauhharus hari pulak baru makin aneh
"aku suka suka sx, ini mempermudah sy untuk tdk repot jln d toko mencari, Hay dgn bring"" dan ketik yg kita cari langsung muncul. pokonya bikin irit bensin lah. Alhamdulillah smogah kedepan semakin sukseslah shopee,I love u",Positif,aku suka suka sx mudah sy tdk repot jln d toko cari hay dgn bring ketik yg cari langsung muncul poko bikin irit bensin lah alhamdulillah smogah depan makin sukses shopeei love u
sangat membantu,Positif,sangat bantu
bagus banget mau belanja online GK takut di tipu lagi deh karena udah ada aplikasi ini yg bantu buat belanja promo nya juga banyak,Positif,bagus banget mau belanja online gk takut tipu deh udah aplikasi yg bantu buat belanja promo nya banyak
Selamat! Sukses! 🎉🙌💫,Negatif,selamat sukses
sukses,Positif,sukses
bagus,Positif,bagus
"engga pernah nunggak, g prnh ngutang, cuma gara² jarang pke spaylaternya, dapat limit besar tp g BS dipake, buat apa ngasih limit. selalu diksh tgl buat coba LG coba LG tp g prnh BS. rekam jejak bagus parameter kredit skornya diatas 800, tp saat mau menggunakan spaylater g BS dipke, limit diksh 7,5jt tp zonk g BS dipke, buat apa ngasih limit",Negatif,engga pernah nunggak g prnh ngutang cuma gara jarang pke spaylaternya limit besar tp g bs dipake buat apa ngasih limit selalu diksh tgl buat coba lg coba lg tp g prnh bs rekam jejak bagus parameter kredit skor atas tp mau guna spaylater g bs dipke limit diksh jt tp zonk g bs dipke buat apa ngasih limit
tolong dong buwat pihak Shopie agar lbih tegas terhadap penjual barang yg palsu ruksak.sudah terlalu bnyak member dan pelangan yg tertipu kena barang yg d jual barang ruksak. tolong lbih steril bwt yg ingin brjualan d Shopie demi kenyaman pelangan dan member.sya kasih bintang 2 dlu nanti klo udah lbih bagus saya kasih bintang full.trimakasih,Negatif,dong buwat pihak shopie lbih tegas jual barang yg palsu ruksaksudah terlalu bnyak member pelang yg tipu kena barang yg d jual barang ruksak lbih steril bwt yg brjualan d shopie kenyam pelang membersya kasih bintang dlu klo udah lbih bagus kasih bintang fulltrimakasih
selalu gratis ongkir,Positif,selalu gratis ongkir
oke,Positif,oke
sangat membantu,Positif,sangat bantu
pasan sesuai toko nya amanah semoga periodik ya awet dan tahan lama,Positif,pas sesuai toko nya amanah moga periodik awet tahan lama
"Masa harga 100rb setelah checkout jadi 400 ribu,benar benar aplikasi streess,,",Negatif,masa harga rb checkout jadi ribubenar benar aplikasi streess
Bayar pengiriman spx instan. tapi di perlakukan seperti sameday. (di gabung dengan paket instant lain).,Negatif,bayar kirim spx instan laku sameday gabung paket instant
shopee top,Positif,shopee top
Bagus,Positif,bagus
Sukses selalu bersama Shopee...,Positif,sukses selalu sama shopee
mantap,Positif,mantap
