full_text,kategori
Bagus cepat,Positif
bagus,Positif
Sesuai harapan dan amanah,Positif
Great....,Positif
murah berkualitas dan tepat waktu,Positif
bgus MLS ngetik panjang2,Positif
"kurirnya ramah,dan barang sesuai",Positif
mantaaappp. .,Positif
Ok baik dan bagus sesuai dengan pesanan Terima kasihl,Positif
ini sangatttttt baģuxs wajib beli di sini,Positif
mantap,Positif
pengiriman sangat lambat,Negatif
nyoba belanja cepat sampenya,Positif
produk slalu sesuai pengiriman cepat pokok nya 👍👍👍,Positif
aplikasi yang sangat berguna,Positif
good,Positif
masih suka ketemu beberapa toko yg baru dilihat diskripsi barang nya tiba-tiba buat pesanan dan tidak bisa dibatalkan,Positif
iklan kek kntl muncul Mulu babi,Negatif
ok,Positif
belanja mudah dan murah,Positif
Alhamdulillah InsyaAllah gak pernah kecewa belanja disini.,Positif
good,Positif
shopeler,Negatif
good,Positif
bagus banget,Positif
"oke, baik.",Positif
sangat bagus pesan barang di shopee,Positif
Shoooope 👍👍👍👍👍👍👍👍👍....Shoooope 👍👍👍👍👍👍👍👍👍....👌👌,Positif
buruk,Negatif
lumayan bagus dan membantu dalam kebutuhan sehari-hari,Positif
f5. 2 c berikut c,Positif
best,Positif
Mantap Cuy?,Positif
toko online gratis ongkirnya,Positif
"saya suka shopee sllu free ongkir,god job👍👍",Positif
seneng belanja di shopee,Positif
"Aplikasi berat bangett, Shoope vidio dan seller pisah aja , saran sih moga jadi ringan apknya",Positif
sanggat membantu banget,Positif
lirik lagu shopee cod shopee cod bayar langsung ditempat.,Positif
ok,Negatif
"ini shopee ada kendala apa hari ini 25 april. 2025, saya order shopeefood dari jam 7 sudah datang jam 8 mana salah yang datang tapi sampe jam 10 belum juga di selesaikan pengiriman dari drivernya, saya chat choki jawababnya tidak memuaskan, terus solusinya bagaimana, saya tidak bisa klaim batal ke tempat order makanan jadinya, driver di chat dan di tlp tidak ada tanggapan, tolong dibantu solusinya",Positif
oke,Positif
pelayanan nya sangat bagus,Positif
"suka masuk ke setiap aplikasi apa saja dan mengganggu setiap saat, tolong jangan masuk tanpa izin",Negatif
"Belanja lebih murah,pelayanan cepat,barang yang dikirim tidak ada yang rusak atau cacat,selalu sesuai dengan pesanan..",Positif
"kenapa sekarang kok lemot banget ya,,padahal selalu di-update.",Positif
shopi puas belanja di shopi,Positif
bagus,Positif
untuk kebutuhan,Positif
"mantab dan reel, sangat membantu.",Positif
mantap,Positif
selalu jadi langganan tempat online,Positif
shopi pelayanannya bagus,Positif
"dgn shopee, lebih mudah membeli sesuatu yg kita inginkan",Positif
